eng,5
spa,5
fra,5
deu,5
zho,5
ita,5
ara,5
pol,5
jpn,5
por,5
nld,5
kor,5
vie,5
ell,4
swe,5
dan,4
bul,4
hbs,5
rus,5
fin,4
ces,4
cat,4
fas,5
nor,4
tur,4
ron,4
tha,4
est,4
heb,4
hin,4
lav,4
slk,4
slv,2
ukr,4
pus,2
eus,4
lat,4
lit,4
hun,4
msa,4
mkd,4
tam,4
urd,4
swa,4
ben,4
cse,0
hau,3
isl,2
gle,2
pan,4
mal,3
mlt,2
nep,3
tel,3
fry,2
afr,3
amh,2
aze,3
guj,3
sin,3
sqi,3
ase,0
asm,3
bre,3
cos,2
epo,3
glg,3
gsg,0
kan,2
kas,2
kha,0
mni,2
mar,3
mon,2
sme,2
ori,3
orm,1
rom,1
gla,1
sid,0
som,2
tir,1
uig,2
uzb,4
cym,3
yor,2
tgl,4
lao,2
kat,4
khm,2
hat,3
ceb,4
ybb,0
enm,0
zul,2
kur,3
lah,3
kaz,3
mxx,0
grn,2
fil,0
fao,2
bod,2
trf,0
tpi,1
ibo,2
bam,1
wol,1
nhi,0
azz,0
luo,0
luq,0
man,0
jgo,0
kmj,0
kin,1
jav,2
san,3
mjt,0
gul,0
mkb,0
aka,2
abk,2
ace,2
ady,1
gsw,3
ami,1
anp,1
arg,3
rki,1
syr,1
hye,3
rup,1
frp,2
ast,3
tay,1
atj,1
ava,2
awa,1
aym,2
ban,2
bak,3
btm,1
bbc,1
bar,3
bel,3
bew,1
bho,3
bpy,2
bis,1
bug,2
mya,3
bik,2
duw,1
kau,1
cha,1
cbk,2
che,3
chr,1
chy,1
chu,1
chv,3
ksh,2
cor,2
cre,1
crh,2
dag,2
zza,2
din,1
div,2
dzo,1
chm,2
egl,2
myv,2
ewe,1
ext,2
hif,2
fij,1
fon,1
gur,1
fur,1
ful,2
gag,1
lug,1
gpe,2
glk,2
kok,2
gor,2
got,1
gcr,1
guw,1
haw,1
iba,1
ido,3
igl,1
ilo,3
smn,2
inh,2
ina,2
ile,1
iku,1
ipk,1
jam,1
kbd,1
kbp,1
kab,2
kal,1
xal,2
krc,2
kaa,2
csb,2
kik,1
kge,1
kom,2
kon,1
avk,2
kus,1
kir,3
lld,3
lad,2
lbe,2
lez,2
lij,2
lim,2
lin,2
lfn,1
olo,2
jbo,1
lmo,3
nds,3
dsb,2
ltz,3
mad,2
mai,2
mlg,3
glv,1
mri,2
mzn,3
xmf,1
mwl,2
mdf,2
mnw,1
mos,1
nqo,1
nhe,2
nav,2
nap,2
new,3
nia,1
pcm,1
nrf,2
frr,2
nso,2
nov,1
nup,1
nya,1
ann,1
oci,3
ang,2
oss,3
